enrollee_id,enrolled_university,education_level,major_discipline
8949,no_enrollment,Graduate,STEM
29725,no_enrollment,Graduate,STEM
11561,Full time course,Graduate,STEM
33241,,Graduate,Business Degree
666,no_enrollment,Masters,STEM
21651,Part time course,Graduate,STEM
28806,no_enrollment,High School,
402,no_enrollment,Graduate,STEM
27107,no_enrollment,Graduate,STEM
699,no_enrollment,Graduate,STEM
29452,Full time course,High School,
23853,no_enrollment,Graduate,STEM
25619,no_enrollment,Graduate,STEM
5826,,,
8722,Full time course,High School,
6588,no_enrollment,Graduate,STEM
4167,no_enrollment,Graduate,STEM
5764,no_enrollment,Graduate,STEM
2156,no_enrollment,Graduate,STEM
11399,no_enrollment,Graduate,Arts
31972,no_enrollment,Masters,STEM
19061,no_enrollment,Masters,STEM
6491,no_enrollment,Masters,STEM
7041,no_enrollment,Graduate,Humanities
22767,no_enrollment,Graduate,STEM
14505,no_enrollment,High School,
17139,Part time course,Graduate,STEM
28476,no_enrollment,Graduate,Arts
21538,no_enrollment,High School,
10408,no_enrollment,Graduate,STEM
14928,no_enrollment,Graduate,STEM
22293,Part time course,Graduate,STEM
4324,Full time course,Graduate,STEM
26966,no_enrollment,Graduate,STEM
26494,no_enrollment,Graduate,Business Degree
4866,no_enrollment,Graduate,STEM
12726,Part time course,High School,
10164,no_enrollment,Phd,STEM
8612,no_enrollment,Graduate,STEM
24659,no_enrollment,,
2547,Full time course,Masters,STEM
13854,no_enrollment,High School,
31654,no_enrollment,Masters,STEM
13643,no_enrollment,Graduate,No Major
5590,Part time course,Masters,STEM
22452,Full time course,Masters,STEM
9006,no_enrollment,Graduate,STEM
25987,no_enrollment,Graduate,STEM
4476,no_enrollment,Graduate,No Major
25103,no_enrollment,Graduate,STEM
5568,no_enrollment,Graduate,STEM
2195,no_enrollment,Graduate,STEM
30533,no_enrollment,Graduate,Humanities
28512,no_enrollment,Masters,STEM
1023,Full time course,High School,
12253,no_enrollment,Graduate,STEM
25296,Full time course,Graduate,STEM
13238,no_enrollment,Graduate,STEM
13478,Full time course,Graduate,STEM
18578,no_enrollment,Graduate,Humanities
29975,Part time course,Graduate,STEM
26516,no_enrollment,Graduate,STEM
24690,,Masters,STEM
8433,no_enrollment,Masters,Humanities
9572,Full time course,High School,
5878,no_enrollment,Graduate,STEM
25695,no_enrollment,Masters,Humanities
9645,no_enrollment,Graduate,STEM
12730,no_enrollment,Masters,Humanities
4830,,,
20970,no_enrollment,Graduate,STEM
17271,Full time course,Graduate,STEM
12731,no_enrollment,Graduate,STEM
10908,no_enrollment,Masters,STEM
29117,Full time course,Graduate,STEM
3686,no_enrollment,Graduate,STEM
22683,no_enrollment,Masters,STEM
22134,no_enrollment,Graduate,Humanities
31765,Full time course,Graduate,STEM
31449,no_enrollment,Masters,STEM
5987,no_enrollment,Graduate,STEM
21762,no_enrollment,Graduate,STEM
22070,no_enrollment,Graduate,STEM
25413,no_enrollment,Graduate,STEM
5902,Part time course,Masters,STEM
28403,no_enrollment,Graduate,STEM
30937,Part time course,Graduate,STEM
28751,Full time course,High School,
29290,Full time course,Masters,STEM
32401,no_enrollment,Graduate,STEM
19128,Full time course,Graduate,STEM
29036,no_enrollment,High School,
16869,no_enrollment,Graduate,Humanities
10497,no_enrollment,Graduate,STEM
18099,no_enrollment,Graduate,STEM
12081,Full time course,Graduate,STEM
7364,Full time course,High School,
11184,Full time course,Graduate,STEM
7016,no_enrollment,Graduate,STEM
8695,no_enrollment,Graduate,STEM
6172,no_enrollment,Graduate,STEM
14672,no_enrollment,Masters,STEM
18257,no_enrollment,Graduate,STEM
24493,no_enrollment,Graduate,STEM
1180,no_enrollment,Graduate,STEM
28627,no_enrollment,Graduate,STEM
8168,no_enrollment,Masters,STEM
10473,no_enrollment,Graduate,STEM
25349,no_enrollment,Graduate,STEM
5220,no_enrollment,Graduate,Other
4789,no_enrollment,Graduate,STEM
11338,no_enrollment,Graduate,STEM
27963,Full time course,Graduate,STEM
8571,Full time course,Graduate,STEM
16303,no_enrollment,Masters,STEM
20576,no_enrollment,Graduate,STEM
32966,no_enrollment,Graduate,STEM
21199,Full time course,Graduate,STEM
18819,no_enrollment,Graduate,STEM
14199,Part time course,Graduate,Business Degree
7666,no_enrollment,Graduate,STEM
13915,no_enrollment,Phd,STEM
10555,no_enrollment,Graduate,STEM
16040,no_enrollment,Graduate,STEM
32826,Full time course,Masters,STEM
13253,Full time course,Graduate,STEM
15637,no_enrollment,Graduate,Humanities
28074,no_enrollment,Graduate,STEM
23012,no_enrollment,Masters,STEM
16110,no_enrollment,Graduate,STEM
3921,no_enrollment,Phd,STEM
24530,no_enrollment,Graduate,STEM
1924,no_enrollment,Masters,STEM
32776,no_enrollment,Graduate,STEM
1907,no_enrollment,High School,
23947,no_enrollment,Phd,STEM
3116,no_enrollment,,
24829,no_enrollment,Masters,Humanities
30488,Full time course,Graduate,STEM
1265,no_enrollment,Graduate,STEM
22098,Full time course,Masters,STEM
13342,no_enrollment,Graduate,Other
24608,no_enrollment,Graduate,STEM
20081,no_enrollment,Graduate,STEM
24796,no_enrollment,Graduate,STEM
7777,no_enrollment,Masters,STEM
22718,no_enrollment,Graduate,No Major
1261,no_enrollment,Graduate,STEM
3396,Part time course,Graduate,STEM
4283,no_enrollment,High School,
18998,no_enrollment,High School,
2003,Full time course,High School,
31786,no_enrollment,Phd,STEM
8241,no_enrollment,,
12154,no_enrollment,Masters,Arts
23455,no_enrollment,Graduate,STEM
19882,no_enrollment,Graduate,STEM
28817,Full time course,Graduate,STEM
4656,no_enrollment,High School,
7280,no_enrollment,Graduate,STEM
16903,no_enrollment,Graduate,No Major
13333,no_enrollment,Graduate,STEM
26241,no_enrollment,Graduate,Other
12381,no_enrollment,Masters,STEM
4064,no_enrollment,Graduate,STEM
32092,no_enrollment,Masters,STEM
3766,no_enrollment,Graduate,STEM
30496,no_enrollment,Graduate,Arts
7189,no_enrollment,Graduate,STEM
29497,no_enrollment,Masters,STEM
31593,no_enrollment,Masters,STEM
12384,,,
11986,Part time course,Masters,STEM
31033,Full time course,High School,
14835,Part time course,High School,
3728,no_enrollment,Masters,STEM
3024,no_enrollment,Graduate,STEM
23508,no_enrollment,Masters,STEM
29457,no_enrollment,Masters,STEM
12297,Full time course,Graduate,STEM
27708,Full time course,Graduate,STEM
3065,no_enrollment,Graduate,STEM
29226,Full time course,High School,
5493,no_enrollment,Masters,STEM
2891,no_enrollment,Masters,STEM
32509,Part time course,Graduate,STEM
31841,no_enrollment,Graduate,STEM
907,no_enrollment,Graduate,STEM
29526,no_enrollment,Graduate,STEM
10956,no_enrollment,Graduate,STEM
26099,no_enrollment,Graduate,STEM
26163,Full time course,Masters,STEM
4120,Full time course,Masters,STEM
7335,no_enrollment,High School,
706,no_enrollment,Masters,STEM
9890,no_enrollment,Graduate,Humanities
32683,no_enrollment,Graduate,STEM
27104,no_enrollment,High School,
7731,no_enrollment,Graduate,STEM
31943,no_enrollment,Graduate,STEM
22899,no_enrollment,Masters,STEM
33339,no_enrollment,Graduate,STEM
20866,no_enrollment,Graduate,STEM
21634,Full time course,Graduate,STEM
29529,no_enrollment,Graduate,STEM
4478,no_enrollment,Graduate,STEM
32095,no_enrollment,Masters,Humanities
18272,Full time course,Graduate,Business Degree
30098,no_enrollment,Masters,Other
23825,Full time course,Graduate,STEM
7672,no_enrollment,Masters,STEM
5633,no_enrollment,Graduate,STEM
30695,Full time course,Graduate,STEM
5573,no_enrollment,Primary School,
24936,no_enrollment,Masters,STEM
397,no_enrollment,Graduate,STEM
31602,no_enrollment,Masters,STEM
5278,no_enrollment,,
